iter	RMSE
0	0.4693712754
1	0.4456545375
2	0.4225526117
3	0.4029651559
4	0.3871056964
5	0.3747318599
6	0.3636171867
7	0.3528921857
8	0.3438764238
9	0.3372126546
10	0.3320235569
11	0.3265139889
12	0.3226865381
13	0.3188974373
14	0.3157948951
15	0.3133397516
16	0.3115664558
17	0.3097198551
18	0.3088349339
19	0.3077097708
20	0.3069194563
21	0.3064482675
22	0.3058445675
23	0.3052920818
24	0.3047996493
25	0.3043030685
26	0.303731202
27	0.3036442644
28	0.3030180234
29	0.3027717722
30	0.3024618031
31	0.3022673683
32	0.3019376404
33	0.3015346698
34	0.3013660739
35	0.3010769238
36	0.3007459032
37	0.300620074
38	0.3003195709
39	0.2999840718
40	0.2999647888
41	0.2998745349
42	0.2997893484
43	0.2994663001
44	0.2994391294
45	0.2992833008
46	0.2991359886
47	0.2989287715
48	0.2988157139
49	0.2987213906
