iter	RMSE
0	0.4811543305
1	0.4658099735
2	0.452316229
3	0.4406076856
4	0.4285663616
5	0.418236567
6	0.408621385
7	0.3998970673
8	0.39078939
9	0.3829623287
10	0.3760268424
11	0.3691996834
12	0.3633145383
13	0.3578962463
14	0.3533859798
15	0.3481667955
16	0.3435710582
17	0.3396723676
18	0.3368147606
19	0.333918285
20	0.3314382407
21	0.3290019665
22	0.3270590381
23	0.3252527343
24	0.3229383067
25	0.3207011758
26	0.3194443466
27	0.3176067485
28	0.3165966973
29	0.3156430975
30	0.3147791692
31	0.3136942916
32	0.3123913108
33	0.3118362522
34	0.3107403933
35	0.3103996579
36	0.3095618239
37	0.3091448604
38	0.3085155166
39	0.3080705621
40	0.307716169
41	0.3074032321
42	0.3072137197
43	0.306579565
44	0.3061688943
45	0.3058097694
46	0.3054113835
47	0.3050984571
48	0.3048778347
49	0.3046311682
50	0.3044380315
51	0.3042313739
52	0.3038615546
53	0.3037568711
54	0.3035104036
55	0.3034011185
56	0.3032240514
57	0.3032079692
58	0.3030104884
59	0.3027435145
60	0.3027266463
61	0.3027059933
62	0.302524596
63	0.3025005551
64	0.3023940494
65	0.3023773868
66	0.302356295
67	0.3022783053
68	0.3022577828
69	0.3022407749
70	0.3021715623
71	0.3021021363
72	0.3020852428
73	0.3020687998
74	0.3020170085
75	0.301893623
76	0.301871426
77	0.3017670681
78	0.3017507428
79	0.301730521
80	0.3016353717
81	0.3016145189
82	0.3015943422
83	0.301577834
84	0.3015566443
85	0.3015397904
86	0.3013980843
87	0.3013793188
88	0.3013627725
89	0.3013419204
90	0.3013210005
91	0.3012592373
92	0.3012352733
93	0.3012182206
94	0.3012014479
95	0.3011813731
96	0.3011606128
97	0.3011391541
98	0.301038649
99	0.3010187652
100	0.3010054208
101	0.3009886926
102	0.300965392
103	0.3009435999
104	0.3009267962
105	0.3009052121
106	0.3008809334
107	0.3008648173
108	0.3008451297
109	0.3008285525
110	0.300804821
111	0.3007025401
112	0.3006815157
113	0.3006622623
114	0.3006119453
115	0.3005908937
116	0.3005664735
117	0.3005491475
118	0.3005247632
119	0.3005046929
120	0.3004881977
121	0.3004657121
122	0.3004415509
123	0.3004171278
124	0.3003964436
125	0.3003753521
126	0.3003520227
127	0.3003397155
128	0.3003208914
129	0.3003034396
130	0.3001968993
131	0.3001770571
132	0.3000403691
133	0.3000163457
134	0.2999960674
135	0.2999750644
136	0.2999539604
137	0.2999290279
138	0.2999130479
139	0.299892785
140	0.2998729714
141	0.2998527246
142	0.2998291061
143	0.2998048468
144	0.2997801944
145	0.2997556376
146	0.2997355317
147	0.2997109692
148	0.2996879716
149	0.2996128522
150	0.2994151052
151	0.2993907901
152	0.2993704619
153	0.299349179
154	0.2993248938
155	0.2993038924
156	0.299283841
157	0.2992633244
158	0.2992386553
159	0.2991830352
160	0.2991623825
161	0.2989707148
162	0.298945913
163	0.2989122201
164	0.298887909
165	0.2986888996
166	0.298663861
167	0.2986393785
168	0.2986142683
169	0.2985894618
170	0.2985642971
171	0.2985390577
172	0.2985152959
173	0.2984898094
174	0.2984646147
175	0.2984394645
176	0.2984155379
177	0.2983908034
178	0.2983660781
179	0.2983406293
180	0.2983164411
181	0.2982923984
182	0.2982672288
183	0.2982425386
184	0.2979967352
185	0.2979725969
186	0.2977596674
187	0.2977353083
188	0.2977104428
189	0.297685171
190	0.2976598541
191	0.2976345558
192	0.2976098729
193	0.297584689
194	0.2975598002
195	0.2975344168
196	0.2975091675
197	0.2974836763
198	0.2974582951
199	0.2974320092
200	0.297406698
201	0.2973818995
202	0.2973566374
203	0.2973308547
204	0.2973049323
205	0.2972795397
206	0.2972538284
207	0.2972282188
208	0.2972025126
209	0.2971772336
210	0.2971514267
211	0.2970071545
212	0.2969815063
213	0.2969557394
214	0.2969301636
215	0.2969040325
216	0.296878317
217	0.2968524634
218	0.2968266511
219	0.296800628
220	0.2967746727
221	0.2967487753
222	0.2967228925
223	0.2966972546
224	0.2966718508
225	0.2966461456
226	0.2966200775
227	0.2965942521
228	0.2965687281
229	0.2965428791
230	0.2965170783
231	0.2964913295
232	0.2964655585
233	0.2964399898
234	0.2964143452
235	0.2963885696
236	0.2963629044
237	0.2963371898
238	0.2963115601
239	0.2962860862
240	0.2962604485
241	0.2962348515
242	0.2962092538
243	0.2961836459
244	0.2961580012
245	0.2961324578
246	0.2961069946
247	0.2960814766
248	0.296056066
249	0.2960305008
250	0.2960050363
251	0.295979617
252	0.295954178
253	0.2959287526
254	0.2959033403
255	0.295877971
256	0.2958525943
257	0.2958272706
258	0.2958019174
259	0.2957766297
260	0.2957513016
261	0.2957259977
262	0.2957006807
263	0.2956754118
264	0.2956501404
265	0.2956248188
266	0.295599544
267	0.2955742789
268	0.2955490483
269	0.2955238082
270	0.2954985768
271	0.2954733445
272	0.2954481294
273	0.2954229173
274	0.2953977469
275	0.2953725386
276	0.2953473631
277	0.2953221855
278	0.2952970137
279	0.2952718601
280	0.2952467138
281	0.29522156
282	0.2951964241
283	0.295171291
284	0.2951461636
285	0.2949406037
286	0.2949154271
287	0.2948902529
288	0.2948650855
289	0.294839918
290	0.2948147676
291	0.2947896218
292	0.2947644823
293	0.2947393531
294	0.2947142236
295	0.2946891105
296	0.2946640097
297	0.2946389196
298	0.2946138272
299	0.294588744
300	0.2945636674
301	0.2945385982
302	0.2945135327
303	0.2944884707
304	0.2944634159
305	0.2944383635
306	0.2944133107
307	0.2943882613
308	0.294363218
309	0.2943381782
310	0.2943131468
311	0.2942881257
312	0.2942631112
313	0.2942381005
314	0.2942130935
315	0.2941880924
316	0.2941630995
317	0.2941381166
318	0.2941131387
319	0.2940881648
320	0.2940631951
321	0.2940382344
322	0.2940132834
323	0.2939883411
324	0.2939634056
325	0.2939384743
326	0.2939135473
327	0.2938886271
328	0.2938637104
329	0.2938387968
330	0.2938138889
331	0.2937889847
332	0.2937640913
333	0.2937392034
334	0.2937143206
335	0.2936894395
336	0.2936645633
337	0.2936396905
338	0.2936148236
339	0.2935899683
340	0.2935651185
341	0.2935402752
342	0.2935154369
343	0.2934906062
344	0.2934657804
345	0.2934409564
346	0.293416136
347	0.2933913198
348	0.2933665064
349	0.2933417018
350	0.2933169028
351	0.2932921052
352	0.2932673118
353	0.293242523
354	0.2932177434
355	0.2931929687
356	0.2931681966
357	0.2931434287
358	0.2931186656
359	0.2930939059
360	0.2930691506
361	0.2930444
362	0.293019654
363	0.2929949153
364	0.2929701832
365	0.2929454553
366	0.2929207272
367	0.2928960044
368	0.2928712892
369	0.2928465781
370	0.2928218706
371	0.2927971656
372	0.2927724621
373	0.2927477616
374	0.2927230637
375	0.2926983688
376	0.2926736759
377	0.2926489868
378	0.2926242992
379	0.2925996162
380	0.2925749346
381	0.2923888005
