iter	Passed	Remaining
0	178	177927
1	201	100549
2	227	75549
3	251	62736
4	275	54885
5	299	49692
6	314	44587
7	336	41768
8	359	39596
9	383	37983
10	403	36281
11	425	35054
12	448	34079
13	474	33448
14	500	32833
15	528	32474
16	554	32045
17	582	31767
18	604	31205
19	627	30764
20	649	30290
21	671	29844
22	693	29451
23	714	29074
24	735	28690
25	756	28339
26	778	28054
27	800	27775
28	822	27542
29	844	27315
30	864	27014
31	886	26825
32	907	26585
33	931	26453
34	952	26271
35	977	26162
36	1000	26047
37	1024	25930
38	1047	25823
39	1071	25707
40	1095	25634
41	1119	25528
42	1143	25457
43	1167	25361
44	1193	25326
45	1215	25202
46	1239	25128
47	1265	25107
48	1289	25033
49	1314	24981
50	1339	24927
51	1361	24823
52	1384	24747
53	1410	24702
54	1434	24649
55	1459	24598
56	1484	24551
57	1508	24494
58	1534	24481
59	1560	24442
60	1583	24382
61	1607	24316
62	1631	24264
63	1655	24208
64	1679	24160
65	1705	24136
66	1728	24066
67	1753	24027
68	1777	23981
69	1799	23912
70	1823	23856
71	1845	23784
72	1867	23711
73	1890	23661
74	1913	23596
75	1936	23545
76	1958	23474
77	1983	23445
78	2005	23378
79	2026	23307
80	2046	23222
81	2068	23154
82	2088	23077
83	2110	23011
84	2134	22978
85	2155	22909
86	2178	22859
87	2201	22812
88	2224	22765
89	2245	22708
90	2267	22650
91	2288	22588
92	2309	22524
93	2330	22465
94	2352	22413
95	2374	22361
96	2395	22298
97	2418	22256
98	2441	22215
99	2462	22159
100	2483	22106
101	2506	22068
102	2528	22020
103	2550	21972
104	2573	21936
105	2594	21880
106	2617	21848
107	2640	21810
108	2665	21784
109	2685	21729
110	2706	21677
111	2726	21621
112	2753	21613
113	2777	21589
114	2802	21568
115	2828	21555
116	2854	21544
117	2879	21522
118	2900	21472
119	2922	21429
120	2945	21394
121	2968	21361
122	2988	21310
123	3011	21272
124	3031	21223
125	3053	21182
126	3075	21141
127	3097	21098
128	3119	21060
129	3140	21016
130	3164	20993
131	3185	20944
132	3206	20899
133	3227	20859
134	3248	20816
135	3273	20793
136	3295	20758
137	3318	20727
